coincidences discrepancies reprod_index
7526057 217 0 1
7569391 209 0 1
7574728 202 0 1
7570266 202 0 1
7546544 191 0 1
7561887 209 0 1
7568592 205 0 1
7553300 195 0 1
7545020 212 0 1
7532819 210 0 1
7570770 215 0 1
7568033 206 0 1
7567799 198 0 1
7556328 212 0 1
7540490 204 0 1
7553598 200 0 1
7526573 186 0 1
7569188 210 0 1
7540599 214 0 1
7533164 204 0 1
7550716 218 0 1
7631741 188 0 1
7566494 214 0 1
7526645 203 0 1
19448716 198 0 1
7599660 198 0 1
7567875 210 0 1
7574621 209 0 1
7552935 211 0 1
7571384 204 0 1
7603010 209 0 1
7565439 201 0 1
7558095 203 0 1
7529933 216 0 1
7625365 211 0 1
7544593 210 0 1
7539243 198 0 1
7535105 203 0 1
7628437 201 0 1
7532828 209 0 1
7528613 207 0 1
